img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2007/JPEGImages/005961.jpg,"[9, 7, 7, 7, 7, 7, 7]","[[58.0, 391.0, 236.0, 94.0], [306.0, 431.0, 18.0, 47.0], [333.0, 426.0, 18.0, 51.0], [360.0, 419.0, 15.0, 53.0], [115.0, 421.0, 51.0, 79.0], [1.0, 425.0, 24.0, 75.0], [25.0, 457.0, 50.0, 43.0]]"
VOCdevkit/VOC2007/JPEGImages/009756.jpg,"[7, 2]","[[205.0, 24.0, 175.0, 263.0], [118.0, 82.0, 302.0, 234.0]]"
VOCdevkit/VOC2007/JPEGImages/000347.jpg,[1],"[[77.0, 2.0, 334.0, 346.0]]"
VOCdevkit/VOC2007/JPEGImages/000416.jpg,"[3, 3, 3]","[[330.0, 139.0, 69.0, 109.0], [181.0, 171.0, 78.0, 81.0], [217.0, 154.0, 128.0, 90.0]]"
VOCdevkit/VOC2007/JPEGImages/003254.jpg,[13],"[[210.0, 132.0, 91.0, 73.0]]"
VOCdevkit/VOC2007/JPEGImages/004786.jpg,[15],"[[27.0, 120.0, 473.0, 194.0]]"
VOCdevkit/VOC2007/JPEGImages/003484.jpg,"[7, 7, 7, 7, 15]","[[468.0, 35.0, 25.0, 43.0], [464.0, 29.0, 36.0, 130.0], [450.0, 43.0, 25.0, 50.0], [405.0, 30.0, 28.0, 90.0], [49.0, 65.0, 442.0, 258.0]]"
VOCdevkit/VOC2007/JPEGImages/007685.jpg,[17],"[[112.0, 78.0, 130.0, 93.0]]"
VOCdevkit/VOC2007/JPEGImages/007579.jpg,"[7, 7, 7, 7, 7]","[[143.0, 60.0, 221.0, 315.0], [387.0, 55.0, 113.0, 320.0], [411.0, 57.0, 47.0, 71.0], [1.0, 4.0, 100.0, 336.0], [143.0, 72.0, 81.0, 293.0]]"
VOCdevkit/VOC2007/JPEGImages/009255.jpg,[1],"[[12.0, 5.0, 236.0, 192.0]]"
VOCdevkit/VOC2007/JPEGImages/002683.jpg,[3],"[[130.0, 123.0, 218.0, 170.0]]"
VOCdevkit/VOC2007/JPEGImages/003948.jpg,"[7, 1]","[[91.0, 19.0, 115.0, 159.0], [112.0, 43.0, 71.0, 153.0]]"
VOCdevkit/VOC2007/JPEGImages/009869.jpg,[7],"[[3.0, 6.0, 350.0, 369.0]]"
VOCdevkit/VOC2007/JPEGImages/000827.jpg,"[19, 19]","[[214.0, 153.0, 36.0, 46.0], [250.0, 160.0, 60.0, 42.0]]"
VOCdevkit/VOC2007/JPEGImages/002255.jpg,[4],"[[87.0, 70.0, 224.0, 199.0]]"
VOCdevkit/VOC2007/JPEGImages/007038.jpg,[5],"[[32.0, 59.0, 300.0, 315.0]]"
VOCdevkit/VOC2007/JPEGImages/008680.jpg,"[9, 15, 15, 15, 15]","[[223.0, 166.0, 93.0, 52.0], [335.0, 140.0, 165.0, 219.0], [4.0, 195.0, 174.0, 115.0], [174.0, 207.0, 112.0, 59.0], [275.0, 202.0, 79.0, 46.0]]"
VOCdevkit/VOC2007/JPEGImages/008062.jpg,[13],"[[2.0, 69.0, 381.0, 306.0]]"
VOCdevkit/VOC2007/JPEGImages/006515.jpg,[18],"[[26.0, 66.0, 444.0, 254.0]]"
VOCdevkit/VOC2007/JPEGImages/001845.jpg,"[15, 15]","[[27.0, 177.0, 203.0, 166.0], [3.0, 194.0, 34.0, 72.0]]"
VOCdevkit/VOC2007/JPEGImages/009654.jpg,"[7, 11]","[[1.0, 83.0, 295.0, 417.0], [220.0, 375.0, 55.0, 97.0]]"
VOCdevkit/VOC2007/JPEGImages/005434.jpg,"[5, 6]","[[72.0, 98.0, 120.0, 209.0], [1.0, 2.0, 128.0, 318.0]]"
VOCdevkit/VOC2007/JPEGImages/009454.jpg,"[6, 16]","[[181.0, 234.0, 163.0, 141.0], [301.0, 151.0, 75.0, 81.0]]"
VOCdevkit/VOC2007/JPEGImages/009202.jpg,"[1, 7]","[[143.0, 114.0, 229.0, 333.0], [175.0, 25.0, 146.0, 268.0]]"
VOCdevkit/VOC2007/JPEGImages/000997.jpg,"[8, 16]","[[1.0, 196.0, 204.0, 179.0], [381.0, 144.0, 78.0, 65.0]]"
VOCdevkit/VOC2007/JPEGImages/005609.jpg,"[15, 15, 15, 15, 15, 15]","[[15.0, 29.0, 467.0, 286.0], [313.0, 3.0, 187.0, 144.0], [160.0, 5.0, 163.0, 95.0], [299.0, 2.0, 155.0, 54.0], [61.0, 3.0, 75.0, 44.0], [1.0, 29.0, 69.0, 114.0]]"
VOCdevkit/VOC2007/JPEGImages/008752.jpg,"[2, 7, 7, 7, 7, 7]","[[1.0, 13.0, 422.0, 316.0], [221.0, 44.0, 65.0, 40.0], [448.0, 1.0, 52.0, 243.0], [411.0, 44.0, 15.0, 46.0], [394.0, 48.0, 23.0, 40.0], [439.0, 77.0, 21.0, 104.0]]"
VOCdevkit/VOC2007/JPEGImages/001825.jpg,"[5, 10]","[[1.0, 39.0, 402.0, 261.0], [1.0, 3.0, 499.0, 369.0]]"
VOCdevkit/VOC2007/JPEGImages/006214.jpg,[18],"[[357.0, 187.0, 83.0, 75.0]]"
VOCdevkit/VOC2007/JPEGImages/009289.jpg,"[14, 14]","[[82.0, 15.0, 345.0, 318.0], [419.0, 223.0, 81.0, 110.0]]"
VOCdevkit/VOC2007/JPEGImages/004591.jpg,"[14, 15, 15]","[[139.0, 158.0, 125.0, 41.0], [307.0, 266.0, 193.0, 67.0], [326.0, 247.0, 174.0, 60.0]]"
VOCdevkit/VOC2007/JPEGImages/002125.jpg,[15],"[[58.0, 154.0, 409.0, 156.0]]"
VOCdevkit/VOC2007/JPEGImages/005486.jpg,"[15, 15, 15]","[[41.0, 71.0, 413.0, 251.0], [252.0, 69.0, 248.0, 126.0], [2.0, 111.0, 31.0, 193.0]]"
VOCdevkit/VOC2007/JPEGImages/000268.jpg,"[4, 4]","[[180.0, 103.0, 256.0, 178.0], [1.0, 58.0, 261.0, 275.0]]"
VOCdevkit/VOC2007/JPEGImages/005145.jpg,"[0, 1]","[[2.0, 359.0, 239.0, 141.0], [174.0, 173.0, 37.0, 30.0]]"
VOCdevkit/VOC2007/JPEGImages/003754.jpg,[1],"[[249.0, 313.0, 52.0, 38.0]]"
VOCdevkit/VOC2007/JPEGImages/001836.jpg,"[8, 7]","[[2.0, 81.0, 460.0, 294.0], [57.0, 78.0, 263.0, 287.0]]"
VOCdevkit/VOC2007/JPEGImages/009337.jpg,[1],"[[231.0, 148.0, 264.0, 178.0]]"
VOCdevkit/VOC2007/JPEGImages/004563.jpg,"[15, 15, 15, 7, 7, 7]","[[58.0, 219.0, 77.0, 48.0], [155.0, 226.0, 40.0, 16.0], [365.0, 211.0, 52.0, 20.0], [428.0, 199.0, 18.0, 37.0], [455.0, 198.0, 13.0, 38.0], [295.0, 213.0, 14.0, 23.0]]"
VOCdevkit/VOC2007/JPEGImages/001647.jpg,[13],"[[1.0, 231.0, 226.0, 269.0]]"
VOCdevkit/VOC2007/JPEGImages/000498.jpg,"[11, 7]","[[6.0, 5.0, 170.0, 198.0], [114.0, 256.0, 87.0, 240.0]]"
VOCdevkit/VOC2007/JPEGImages/007432.jpg,"[16, 6, 6]","[[418.0, 153.0, 80.0, 67.0], [19.0, 279.0, 156.0, 96.0], [14.0, 238.0, 103.0, 77.0]]"
VOCdevkit/VOC2007/JPEGImages/003603.jpg,"[7, 7, 7, 7, 7, 7, 7, 7, 12]","[[160.0, 263.0, 158.0, 112.0], [332.0, 245.0, 107.0, 130.0], [415.0, 217.0, 64.0, 144.0], [397.0, 142.0, 103.0, 205.0], [256.0, 102.0, 127.0, 167.0], [181.0, 133.0, 76.0, 90.0], [106.0, 135.0, 34.0, 51.0], [1.0, 93.0, 170.0, 282.0], [95.0, 223.0, 322.0, 152.0]]"
VOCdevkit/VOC2007/JPEGImages/004212.jpg,"[5, 0]","[[88.0, 176.0, 162.0, 136.0], [454.0, 115.0, 46.0, 176.0]]"
VOCdevkit/VOC2007/JPEGImages/004675.jpg,[14],"[[3.0, 46.0, 371.0, 104.0]]"
VOCdevkit/VOC2007/JPEGImages/006497.jpg,"[15, 15, 7, 7, 7, 7, 7, 7]","[[22.0, 84.0, 467.0, 180.0], [97.0, 64.0, 119.0, 57.0], [461.0, 98.0, 30.0, 55.0], [426.0, 103.0, 26.0, 32.0], [390.0, 97.0, 23.0, 31.0], [372.0, 103.0, 23.0, 24.0], [358.0, 103.0, 14.0, 20.0], [166.0, 104.0, 19.0, 15.0]]"
VOCdevkit/VOC2007/JPEGImages/001236.jpg,"[1, 7]","[[69.0, 111.0, 363.0, 251.0], [223.0, 28.0, 86.0, 225.0]]"
VOCdevkit/VOC2007/JPEGImages/002012.jpg,"[7, 7]","[[135.0, 128.0, 32.0, 127.0], [156.0, 118.0, 39.0, 127.0]]"
VOCdevkit/VOC2007/JPEGImages/009911.jpg,[4],"[[75.0, 137.0, 342.0, 128.0]]"
VOCdevkit/VOC2007/JPEGImages/006339.jpg,"[16, 6, 6, 8, 7, 7, 7, 7]","[[67.0, 65.0, 81.0, 72.0], [94.0, 255.0, 77.0, 60.0], [93.0, 142.0, 69.0, 52.0], [284.0, 100.0, 99.0, 235.0], [284.0, 166.0, 87.0, 72.0], [265.0, 104.0, 57.0, 80.0], [81.0, 128.0, 102.0, 71.0], [86.0, 254.0, 102.0, 47.0]]"
VOCdevkit/VOC2007/JPEGImages/007244.jpg,"[7, 18]","[[100.0, 34.0, 310.0, 341.0], [22.0, 271.0, 466.0, 104.0]]"
VOCdevkit/VOC2007/JPEGImages/009259.jpg,"[7, 2]","[[211.0, 98.0, 84.0, 94.0], [167.0, 121.0, 172.0, 111.0]]"
VOCdevkit/VOC2007/JPEGImages/003285.jpg,"[15, 15, 15]","[[27.0, 118.0, 166.0, 141.0], [231.0, 131.0, 99.0, 31.0], [249.0, 138.0, 177.0, 51.0]]"
VOCdevkit/VOC2007/JPEGImages/008200.jpg,[13],"[[196.0, 129.0, 201.0, 186.0]]"
VOCdevkit/VOC2007/JPEGImages/009053.jpg,[15],"[[43.0, 82.0, 375.0, 224.0]]"
VOCdevkit/VOC2007/JPEGImages/005239.jpg,"[7, 7, 7, 7]","[[181.0, 181.0, 161.0, 319.0], [346.0, 273.0, 29.0, 93.0], [197.0, 189.0, 30.0, 49.0], [170.0, 210.0, 29.0, 25.0]]"
VOCdevkit/VOC2007/JPEGImages/006097.jpg,[15],"[[1.0, 77.0, 453.0, 204.0]]"
VOCdevkit/VOC2007/JPEGImages/006542.jpg,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 17]","[[431.0, 172.0, 26.0, 57.0], [414.0, 172.0, 19.0, 56.0], [394.0, 175.0, 21.0, 52.0], [369.0, 81.0, 20.0, 24.0], [247.0, 83.0, 17.0, 53.0], [259.0, 81.0, 15.0, 54.0], [181.0, 84.0, 13.0, 51.0], [171.0, 87.0, 12.0, 17.0], [136.0, 84.0, 18.0, 50.0], [122.0, 89.0, 15.0, 48.0], [104.0, 86.0, 25.0, 48.0], [88.0, 84.0, 19.0, 53.0], [34.0, 87.0, 14.0, 17.0], [12.0, 76.0, 18.0, 28.0], [337.0, 90.0, 11.0, 12.0], [1.0, 1.0, 499.0, 371.0]]"
VOCdevkit/VOC2007/JPEGImages/002767.jpg,"[16, 16, 16, 7, 7, 6, 6]","[[246.0, 189.0, 56.0, 70.0], [113.0, 170.0, 30.0, 46.0], [75.0, 167.0, 38.0, 54.0], [114.0, 171.0, 135.0, 204.0], [19.0, 172.0, 92.0, 102.0], [11.0, 206.0, 73.0, 127.0], [92.0, 245.0, 106.0, 130.0]]"
VOCdevkit/VOC2007/JPEGImages/009078.jpg,"[15, 7, 15, 0]","[[114.0, 248.0, 277.0, 90.0], [219.0, 252.0, 32.0, 28.0], [201.0, 225.0, 53.0, 22.0], [456.0, 245.0, 27.0, 34.0]]"
VOCdevkit/VOC2007/JPEGImages/003856.jpg,"[7, 7, 7, 7]","[[114.0, 152.0, 375.0, 218.0], [119.0, 21.0, 254.0, 338.0], [25.0, 114.0, 132.0, 104.0], [63.0, 134.0, 105.0, 113.0]]"
VOCdevkit/VOC2007/JPEGImages/001298.jpg,"[7, 7, 7, 17]","[[313.0, 60.0, 119.0, 133.0], [193.0, 167.0, 131.0, 113.0], [107.0, 107.0, 101.0, 155.0], [3.0, 2.0, 423.0, 250.0]]"
VOCdevkit/VOC2007/JPEGImages/000420.jpg,[15],"[[78.0, 29.0, 397.0, 318.0]]"
VOCdevkit/VOC2007/JPEGImages/008695.jpg,"[2, 2]","[[4.0, 21.0, 478.0, 312.0], [140.0, 1.0, 277.0, 56.0]]"
VOCdevkit/VOC2007/JPEGImages/000626.jpg,"[7, 16, 16, 16]","[[141.0, 23.0, 172.0, 275.0], [108.0, 35.0, 80.0, 111.0], [32.0, 44.0, 84.0, 84.0], [185.0, 32.0, 35.0, 73.0]]"
VOCdevkit/VOC2007/JPEGImages/005267.jpg,[14],"[[68.0, 51.0, 336.0, 259.0]]"
VOCdevkit/VOC2007/JPEGImages/007919.jpg,"[1, 7]","[[167.0, 114.0, 281.0, 166.0], [266.0, 49.0, 57.0, 159.0]]"
VOCdevkit/VOC2007/JPEGImages/000612.jpg,"[7, 7, 14]","[[158.0, 144.0, 217.0, 356.0], [1.0, 110.0, 194.0, 390.0], [1.0, 1.0, 373.0, 212.0]]"
VOCdevkit/VOC2007/JPEGImages/000823.jpg,[15],"[[49.0, 160.0, 294.0, 105.0]]"
VOCdevkit/VOC2007/JPEGImages/000125.jpg,"[18, 7, 7, 7]","[[425.0, 218.0, 75.0, 57.0], [436.0, 188.0, 31.0, 35.0], [382.0, 209.0, 33.0, 63.0], [353.0, 213.0, 30.0, 63.0]]"
VOCdevkit/VOC2007/JPEGImages/001981.jpg,[5],"[[36.0, 1.0, 293.0, 272.0]]"
VOCdevkit/VOC2007/JPEGImages/009287.jpg,"[2, 7, 7, 2, 7]","[[255.0, 65.0, 245.0, 205.0], [248.0, 43.0, 123.0, 208.0], [284.0, 19.0, 135.0, 222.0], [18.0, 245.0, 33.0, 43.0], [12.0, 230.0, 39.0, 58.0]]"
VOCdevkit/VOC2007/JPEGImages/003231.jpg,[15],"[[38.0, 270.0, 129.0, 96.0]]"
VOCdevkit/VOC2007/JPEGImages/000276.jpg,"[7, 7, 7]","[[129.0, 163.0, 101.0, 156.0], [162.0, 373.0, 98.0, 127.0], [32.0, 373.0, 108.0, 127.0]]"
VOCdevkit/VOC2007/JPEGImages/004634.jpg,[1],"[[160.0, 143.0, 240.0, 162.0]]"
VOCdevkit/VOC2007/JPEGImages/004122.jpg,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[[262.0, 325.0, 37.0, 71.0], [207.0, 313.0, 40.0, 50.0], [121.0, 333.0, 34.0, 123.0], [147.0, 341.0, 23.0, 99.0], [163.0, 342.0, 25.0, 101.0], [183.0, 344.0, 26.0, 102.0], [203.0, 344.0, 27.0, 103.0], [219.0, 352.0, 33.0, 106.0], [242.0, 348.0, 23.0, 95.0], [267.0, 340.0, 34.0, 103.0]]"
VOCdevkit/VOC2007/JPEGImages/007045.jpg,"[7, 19, 19, 19, 19]","[[168.0, 159.0, 163.0, 250.0], [91.0, 249.0, 182.0, 120.0], [2.0, 213.0, 92.0, 92.0], [59.0, 87.0, 21.0, 12.0], [270.0, 94.0, 19.0, 14.0]]"
VOCdevkit/VOC2007/JPEGImages/004773.jpg,"[12, 6, 6, 16]","[[78.0, 249.0, 290.0, 247.0], [240.0, 231.0, 135.0, 212.0], [8.0, 288.0, 182.0, 212.0], [11.0, 184.0, 54.0, 42.0]]"
VOCdevkit/VOC2007/JPEGImages/006043.jpg,"[15, 15, 7, 7, 7, 7]","[[5.0, 41.0, 52.0, 28.0], [2.0, 2.0, 494.0, 369.0], [465.0, 29.0, 31.0, 102.0], [252.0, 22.0, 50.0, 91.0], [297.0, 23.0, 31.0, 40.0], [116.0, 24.0, 34.0, 39.0]]"
VOCdevkit/VOC2007/JPEGImages/006264.jpg,[13],"[[193.0, 38.0, 146.0, 310.0]]"
VOCdevkit/VOC2007/JPEGImages/005431.jpg,[17],"[[150.0, 220.0, 41.0, 35.0]]"
VOCdevkit/VOC2007/JPEGImages/001442.jpg,[19],"[[73.0, 68.0, 356.0, 265.0]]"
VOCdevkit/VOC2007/JPEGImages/004701.jpg,[11],"[[334.0, 1.0, 52.0, 109.0]]"
VOCdevkit/VOC2007/JPEGImages/005908.jpg,"[7, 11]","[[72.0, 2.0, 427.0, 373.0], [169.0, 19.0, 177.0, 201.0]]"
VOCdevkit/VOC2007/JPEGImages/009393.jpg,"[2, 18, 18, 7, 7]","[[145.0, 140.0, 176.0, 202.0], [89.0, 272.0, 96.0, 100.0], [287.0, 160.0, 192.0, 212.0], [295.0, 2.0, 162.0, 370.0], [38.0, 162.0, 64.0, 134.0]]"
VOCdevkit/VOC2007/JPEGImages/002529.jpg,"[12, 7]","[[1.0, 92.0, 496.0, 283.0], [1.0, 152.0, 226.0, 114.0]]"
VOCdevkit/VOC2007/JPEGImages/000404.jpg,[15],"[[133.0, 89.0, 261.0, 232.0]]"
VOCdevkit/VOC2007/JPEGImages/002859.jpg,"[9, 7, 7, 7, 7, 7, 7, 7, 7]","[[1.0, 47.0, 475.0, 304.0], [34.0, 219.0, 36.0, 40.0], [333.0, 124.0, 23.0, 20.0], [358.0, 127.0, 18.0, 17.0], [376.0, 128.0, 21.0, 20.0], [398.0, 133.0, 24.0, 17.0], [422.0, 133.0, 23.0, 19.0], [130.0, 100.0, 23.0, 32.0], [111.0, 96.0, 19.0, 35.0]]"
VOCdevkit/VOC2007/JPEGImages/007261.jpg,"[15, 15, 7]","[[1.0, 292.0, 159.0, 140.0], [196.0, 288.0, 181.0, 191.0], [292.0, 91.0, 85.0, 409.0]]"
VOCdevkit/VOC2007/JPEGImages/002774.jpg,"[1, 1]","[[284.0, 77.0, 216.0, 298.0], [72.0, 128.0, 268.0, 247.0]]"
VOCdevkit/VOC2007/JPEGImages/006602.jpg,"[10, 7, 7, 7]","[[92.0, 121.0, 113.0, 116.0], [202.0, 365.0, 91.0, 124.0], [22.0, 254.0, 63.0, 191.0], [99.0, 365.0, 92.0, 100.0]]"
VOCdevkit/VOC2007/JPEGImages/004601.jpg,"[2, 7]","[[151.0, 100.0, 115.0, 217.0], [200.0, 43.0, 132.0, 265.0]]"
VOCdevkit/VOC2007/JPEGImages/007374.jpg,"[15, 15]","[[197.0, 219.0, 123.0, 55.0], [42.0, 207.0, 90.0, 57.0]]"
VOCdevkit/VOC2007/JPEGImages/009502.jpg,[10],"[[200.0, 89.0, 131.0, 138.0]]"
VOCdevkit/VOC2007/JPEGImages/009413.jpg,"[6, 6, 6, 7, 7, 12]","[[24.0, 70.0, 125.0, 194.0], [234.0, 111.0, 100.0, 124.0], [4.0, 276.0, 62.0, 224.0], [26.0, 231.0, 155.0, 269.0], [252.0, 9.0, 248.0, 352.0], [48.0, 333.0, 452.0, 167.0]]"
VOCdevkit/VOC2007/JPEGImages/002253.jpg,"[18, 11, 11]","[[14.0, 17.0, 465.0, 302.0], [243.0, 125.0, 37.0, 66.0], [194.0, 128.0, 49.0, 60.0]]"
VOCdevkit/VOC2007/JPEGImages/005579.jpg,"[5, 5]","[[54.0, 160.0, 158.0, 77.0], [129.0, 192.0, 239.0, 109.0]]"
VOCdevkit/VOC2007/JPEGImages/001413.jpg,"[13, 13, 13, 13, 13, 13, 13, 13, 13]","[[373.0, 163.0, 109.0, 93.0], [189.0, 130.0, 45.0, 44.0], [96.0, 155.0, 53.0, 33.0], [3.0, 167.0, 19.0, 75.0], [172.0, 177.0, 65.0, 66.0], [256.0, 181.0, 67.0, 92.0], [83.0, 227.0, 79.0, 82.0], [134.0, 211.0, 76.0, 79.0], [118.0, 188.0, 39.0, 38.0]]"
VOCdevkit/VOC2007/JPEGImages/009828.jpg,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 7]","[[62.0, 190.0, 27.0, 41.0], [52.0, 196.0, 37.0, 46.0], [47.0, 207.0, 38.0, 47.0], [35.0, 214.0, 51.0, 71.0], [18.0, 239.0, 70.0, 73.0], [2.0, 259.0, 87.0, 83.0], [1.0, 304.0, 90.0, 109.0], [1.0, 381.0, 77.0, 116.0], [1.0, 201.0, 34.0, 28.0], [79.0, 5.0, 207.0, 495.0]]"
VOCdevkit/VOC2007/JPEGImages/001964.jpg,"[13, 13, 13, 13, 13, 13, 13]","[[366.0, 50.0, 47.0, 39.0], [318.0, 71.0, 44.0, 33.0], [268.0, 124.0, 31.0, 34.0], [224.0, 137.0, 26.0, 33.0], [98.0, 141.0, 16.0, 22.0], [128.0, 117.0, 21.0, 23.0], [150.0, 110.0, 17.0, 31.0]]"
VOCdevkit/VOC2007/JPEGImages/008701.jpg,"[7, 7, 8]","[[143.0, 135.0, 122.0, 179.0], [2.0, 18.0, 429.0, 332.0], [3.0, 88.0, 497.0, 287.0]]"
VOCdevkit/VOC2007/JPEGImages/000526.jpg,"[7, 7, 7, 7, 6]","[[167.0, 122.0, 55.0, 153.0], [189.0, 88.0, 87.0, 228.0], [259.0, 73.0, 181.0, 247.0], [376.0, 85.0, 67.0, 219.0], [421.0, 185.0, 67.0, 121.0]]"
VOCdevkit/VOC2007/JPEGImages/009671.jpg,"[15, 15, 15, 7, 7, 7]","[[45.0, 195.0, 158.0, 66.0], [253.0, 206.0, 191.0, 78.0], [192.0, 202.0, 141.0, 53.0], [109.0, 180.0, 19.0, 22.0], [146.0, 180.0, 20.0, 20.0], [90.0, 183.0, 17.0, 31.0]]"
VOCdevkit/VOC2007/JPEGImages/008602.jpg,"[8, 7, 7, 7]","[[1.0, 24.0, 326.0, 187.0], [1.0, 91.0, 121.0, 240.0], [150.0, 144.0, 145.0, 230.0], [276.0, 78.0, 224.0, 297.0]]"
VOCdevkit/VOC2007/JPEGImages/006096.jpg,[9],"[[30.0, 48.0, 442.0, 276.0]]"
VOCdevkit/VOC2007/JPEGImages/003642.jpg,[9],"[[26.0, 58.0, 435.0, 168.0]]"
VOCdevkit/VOC2007/JPEGImages/002481.jpg,[7],"[[15.0, 19.0, 301.0, 407.0]]"
VOCdevkit/VOC2007/JPEGImages/001501.jpg,"[18, 7]","[[327.0, 187.0, 39.0, 70.0], [330.0, 148.0, 46.0, 96.0]]"
VOCdevkit/VOC2007/JPEGImages/005948.jpg,"[10, 1, 1, 7, 7]","[[166.0, 198.0, 63.0, 32.0], [260.0, 134.0, 65.0, 127.0], [329.0, 133.0, 95.0, 124.0], [366.0, 100.0, 37.0, 103.0], [274.0, 108.0, 36.0, 106.0]]"
VOCdevkit/VOC2007/JPEGImages/003210.jpg,"[1, 7]","[[46.0, 73.0, 219.0, 383.0], [97.0, 51.0, 126.0, 215.0]]"
VOCdevkit/VOC2007/JPEGImages/003155.jpg,[13],"[[4.0, 121.0, 309.0, 298.0]]"
VOCdevkit/VOC2007/JPEGImages/002267.jpg,"[3, 3, 3]","[[65.0, 194.0, 100.0, 114.0], [370.0, 183.0, 24.0, 21.0], [348.0, 184.0, 20.0, 18.0]]"
VOCdevkit/VOC2007/JPEGImages/003038.jpg,[14],"[[114.0, 107.0, 136.0, 176.0]]"
VOCdevkit/VOC2007/JPEGImages/005373.jpg,"[15, 15]","[[245.0, 150.0, 55.0, 38.0], [329.0, 149.0, 43.0, 29.0]]"
VOCdevkit/VOC2007/JPEGImages/001395.jpg,[5],"[[35.0, 24.0, 464.0, 351.0]]"
VOCdevkit/VOC2007/JPEGImages/000424.jpg,"[13, 13, 13, 13]","[[65.0, 159.0, 69.0, 57.0], [189.0, 197.0, 95.0, 57.0], [327.0, 209.0, 74.0, 43.0], [411.0, 177.0, 75.0, 50.0]]"
VOCdevkit/VOC2007/JPEGImages/004946.jpg,"[7, 15, 15]","[[134.0, 43.0, 143.0, 457.0], [253.0, 235.0, 122.0, 71.0], [29.0, 249.0, 53.0, 25.0]]"
VOCdevkit/VOC2007/JPEGImages/008163.jpg,"[17, 17, 17, 17, 17, 7, 7]","[[2.0, 65.0, 148.0, 34.0], [121.0, 53.0, 79.0, 26.0], [209.0, 75.0, 145.0, 54.0], [307.0, 62.0, 112.0, 44.0], [40.0, 182.0, 341.0, 83.0], [81.0, 146.0, 95.0, 78.0], [41.0, 160.0, 40.0, 61.0]]"
VOCdevkit/VOC2007/JPEGImages/005917.jpg,"[6, 6, 5]","[[315.0, 160.0, 178.0, 200.0], [156.0, 130.0, 103.0, 107.0], [123.0, 203.0, 35.0, 22.0]]"
